pickup_borough,baseline_avg_daily_trips,snow_day_trips,change_vs_baseline,pct_change_vs_baseline
EWR,1.6666666666666667,0.0,-1.6666666666666667,-1.0
Staten Island,15.266666666666667,3.0,-12.266666666666667,-0.8034934497816594
Manhattan,101733.96666666666,35673.0,-66060.96666666666,-0.6493501514898826
Queens,10585.5,3860.0,-6725.5,-0.635350243257286
Unknown,136.56666666666666,54.0,-82.56666666666666,-0.6045887234561874
Bronx,1186.2,593.0,-593.2,-0.500084302815714
Brooklyn,4997.433333333333,3371.0,-1626.4333333333334,-0.32545373291623036
