Borough,other_jan_sunday_avg_trips,jan25_trips,change_vs_other_sundays,pct_change_vs_other_sundays
EWR,1.5,0.0,-1.5,-1.0
Queens,11441.666666666666,3860.0,-7581.666666666666,-0.6626365622723962
Staten Island,8.333333333333334,3.0,-5.333333333333334,-0.64
Manhattan,87888.0,35673.0,-52215.0,-0.594108410704533
Unknown,126.66666666666667,54.0,-72.66666666666667,-0.5736842105263158
Bronx,962.0,593.0,-369.0,-0.38357588357588357
Brooklyn,5225.333333333333,3371.0,-1854.333333333333,-0.3548736922684358
