subset,font_count,avg_variant_count,display_count,handwriting_count,monospace_count,sans_serif_count,serif_count
signwriting,1,1.00,0,0,0,1,0
sogdian,1,1.00,0,0,0,1,0
sora-sompeng,1,4.00,0,0,0,1,0
soyombo,1,1.00,0,0,0,1,0
sundanese,1,4.00,0,0,0,1,0
sunuwar,1,1.00,0,0,0,1,0
syloti-nagri,1,1.00,0,0,0,1,0
tagalog,1,1.00,0,0,0,1,0
tagbanwa,1,1.00,0,0,0,1,0
tai-le,1,1.00,0,0,0,1,0
tai-tham,1,4.00,0,0,0,1,0
takri,1,1.00,0,0,0,1,0
tamil-supplement,1,1.00,0,0,0,1,0
tangsa,1,4.00,0,0,0,1,0
thaana,1,9.00,0,0,0,1,0
tirhuta,1,1.00,0,0,0,1,0
ugaritic,1,1.00,0,0,0,1,0
vai,1,1.00,0,0,0,1,0
wancho,1,1.00,0,0,0,1,0
warang-citi,1,1.00,0,0,0,1,0
zanabazar-square,1,1.00,0,0,0,1,0
ahom,1,1.00,0,0,0,0,1
dives-akuru,1,1.00,0,0,0,0,1
dogra,1,1.00,0,0,0,0,1
kana-extended,1,8.00,0,0,0,0,1
khitan-small-script,1,1.00,0,0,0,0,1
makasar,1,1.00,0,0,0,0,1
nyiakeng-puachue-hmong,1,4.00,0,0,0,0,1
old-uyghur,1,1.00,0,0,0,0,1
ottoman-siyaq-numbers,1,1.00,0,0,0,0,1
tangut,1,1.00,0,0,0,0,1
todhri,1,1.00,0,0,0,0,1
toto,1,4.00,0,0,0,0,1
yezidi,1,4.00,0,0,0,0,1
znamenny,1,1.00,0,0,0,1,0
